Account Name,Sku,Supplier Sku,Product Type,Description,SOH,Allocated,Available
Fame and Partners,35330-Old Size Grade,,,Southern Sun - US8/AU12 -red,4,0,4
Fame and Partners,35339-Old Size Grade,,,Mildred - US2/AU6 -red,15,0,15
Fame and Partners,35340-Old Size Grade,,,Mildred - US4/AU8 -red,33,0,33
Fame and Partners,35341-Old Size Grade,,,Mildred - US6/AU10 -red,30,0,30
Fame and Partners,35342-Old Size Grade,,,Mildred - US8/AU12 -red,16,0,16
Fame and Partners,35729,,,Ethereal Whisper - US4/AU8 -white,1,0,1
Fame and Partners,36542,,,Allegra - US8/AU12 -pale-grey,1,0,1
Fame and Partners,37110,,,Quincy - US6/AU10 -indigo,1,0,1
Fame and Partners,37206,,,Venus Lace - US8/AU12 -black,1,0,1
Fame and Partners,37338,,,Sarah - US2/AU6 -emerald-green,1,0,1
Fame and Partners,37701,,,Leo - US4/AU8 -cherry-red,1,0,1
Fame and Partners,38164-Old Size Grade,,,Wired Heart - US8/AU12 -navy,10,0,10
Fame and Partners,38169-Old Size Grade,,,Wired Heart - US8/AU12 -lemon,1,0,1
Fame and Partners,38178-Old Size Grade,,,Wired Heart - US6/AU10 -navy,1,0,1
Fame and Partners,38214-Old Size Grade,,,Wired Heart - US10/AU14 -navy,3,0,3
Fame and Partners,38476,,,Imogen - US0/AU4 -cherry-red,1,0,1
Fame and Partners,38546,,,Wired Heart - US4/AU8 -cobalt-blue,1,0,1
Fame and Partners,38609-Old Size Grade,,,Paradise Dream - US4/AU8 -burgundy,1,0,1
Fame and Partners,38771,,,Tempest - US6/AU10 -burgundy,1,0,1
Fame and Partners,39005,,,Holly - US0/AU4 -red,1,0,1
Fame and Partners,39152-Old Size Grade,,,Wired Heart - US4/AU8 -red,1,0,1
Fame and Partners,39477,,,First In Line - US4/AU8 -white,4,0,4
Fame and Partners,39444,,,Perry - US10/AU14 -nude,1,0,1
Fame and Partners,39911,,,Daisy - US10/AU14 -black,1,0,1
Fame and Partners,39921,,,Sweet Rebel - US2/AU6 -ice-blue,1,0,1
